                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 47  46.00000  13.80398   0.46990
 48  47.00000  14.13196   0.51241
 49  48.00000  14.46113   0.55766
 50  49.00000  14.79149   0.60554
 51  50.00000  15.12303   0.65599
 52  51.00000  15.45576   0.70895
 53  52.00000  15.78967   0.76436
 54  53.00000  16.12477   0.82219
 55  54.00000  16.46105   0.88238



  Saga (N) 35/3-1                         

 WELL # 13 WITH  21 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.00086   0.51885
  2   1.00000   1.51272   0.46606
  3   2.00000   2.01638   0.41611
  4   3.00000   2.51184   0.36928
  5   4.00000   2.99910   0.32592
  6   5.00000   3.47817   0.28655
  7   6.00000   3.94904   0.25188
  8   7.00000   4.41171   0.22283
  9   8.00000   4.86618   0.20052
 10   9.00000   5.31246   0.18597
 11  10.00000   5.75054   0.17972
 12  11.00000   6.18042   0.18134
 13  12.00000   6.60210   0.18948
 14  13.00000   7.01559   0.20232
 15  14.00000   7.42088   0.21816
 16  15.00000   7.81797   0.23560
 17  16.00000   8.20686   0.25364
 18  17.00000   8.58755   0.27159
 19  18.00000   8.96005   0.28894
 20  19.00000   9.32435   0.30537
 21  20.00000   9.68046   0.32063
 22  21.00000  10.02836   0.33455
 23  22.00000  10.36807   0.34702
 24  23.00000  10.69958   0.35794
 25  24.00000  11.02289   0.36727
 26  25.00000  11.33801   0.37494
