                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 98  97.00000  36.80902   0.48096



  Hydro (N) 6407/7-1                      

 WELL #  7 WITH  37 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   5.19460   2.37147
  2   1.00000   4.95836   2.29468
  3   2.00000   4.73244   2.21914
  4   3.00000   4.51684   2.14483
  5   4.00000   4.31155   2.07176
  6   5.00000   4.11658   1.99993
  7   6.00000   3.93192   1.92935
  8   7.00000   3.75758   1.86000
  9   8.00000   3.59356   1.79191
 10   9.00000   3.43985   1.72505
 11  10.00000   3.29646   1.65945
 12  11.00000   3.16338   1.59509
 13  12.00000   3.04063   1.53198
 14  13.00000   2.92818   1.47013
 15  14.00000   2.82606   1.40953
 16  15.00000   2.73425   1.35018
 17  16.00000   2.65275   1.29210
 18  17.00000   2.58157   1.23527
 19  18.00000   2.52071   1.17971
 20  19.00000   2.47017   1.12542
 21  20.00000   2.42994   1.07239
 22  21.00000   2.40002   1.02065
 23  22.00000   2.38042   0.97019
 24  23.00000   2.37114   0.92101
 25  24.00000   2.37218   0.87312
 26  25.00000   2.38353   0.82654
 27  26.00000   2.40520   0.78127
 28  27.00000   2.43718   0.73731
 29  28.00000   2.47948   0.69469
 30  29.00000   2.53209   0.65341
 31  30.00000   2.59503   0.61348
 32  31.00000   2.66827   0.57493
 33  32.00000   2.75184   0.53778
 34  33.00000   2.84572   0.50205
 35  34.00000   2.94991   0.46777
 36  35.00000   3.06443   0.43497
 37  36.00000   3.18925   0.40369
 38  37.00000   3.32440   0.37398
 39  38.00000   3.46986   0.34589
 40  39.00000   3.62564   0.31949
 41  40.00000   3.79173   0.29484
 42  41.00000   3.96814   0.27205
 43  42.00000   4.15486   0.25118
 44  43.00000   4.35191   0.23236
 45  44.00000   4.55926   0.21566
 46  45.00000   4.77694   0.20119
 47  46.00000   5.00493   0.18900
 48  47.00000   5.24323   0.17912
 49  48.00000   5.49185   0.17149
 50  49.00000   5.75079   0.16601
 51  50.00000   6.02005   0.16247
 52  51.00000   6.29962   0.16063
 53  52.00000   6.58950   0.16017
 54  53.00000   6.88971   0.16079
 55  54.00000   7.20023   0.16217
 56  55.00000   7.52106   0.16403
 57  56.00000   7.85221   0.16610
 58  57.00000   8.19368   0.16819
 59  58.00000   8.54546   0.17010
 60  59.00000   8.90756   0.17169
 61  60.00000   9.27998   0.17285
 62  61.00000   9.66271   0.17349
